
Inferno_Apogee,无上业火(void),Sword_V530_Flame.jpg,Icon_Rarity_5.png,Icon_Element_Flame.png,Icon_Weapon_Sword.png,92,362,none.jpg,,Icon_Ability_1010007.jpg,开场技槽50%,Icon_Ability_1100001.jpg,[真风]特攻20%,Icon_Type_Support.png,
Levatein,雷瓦汀,Sword_530_Flame.jpg,Icon_Rarity_5.png,Icon_Element_Flame.png,Icon_Weapon_Sword.png,143,556,Icon_Skill_003.jpg,前方x5,none.jpg,,none.jpg,,Icon_Type_Attack.png,
Molten_Ingot,火山铸铁(void),Sword_V430_Flame.jpg,Icon_Rarity_4.png,Icon_Element_Flame.png,Icon_Weapon_Sword.png,57,222,none.jpg,,Icon_Ability_1060002.jpg,[自然]特攻15%,Icon_Ability_1030013.jpg,卷刃抗性,Icon_Type_Support.png,
Crimson_Cry,绯红剑,Sword_430_Flame.jpg,Icon_Rarity_4.png,Icon_Element_Flame.png,Icon_Weapon_Sword.png,92,362,Icon_Skill_006.jpg,直线x2,none.jpg,,none.jpg,,Icon_Type_Attack.png,
Judge_of_Oceans,大洋裁决(void),Sword_V530_Water.jpg,Icon_Rarity_5.png,Icon_Element_Water.png,Icon_Weapon_Sword.png,92,362,none.jpg,,Icon_Ability_1020003.jpg,满HP)防20%,Icon_Ability_1100001.jpg,[真火]特攻20%,Icon_Type_Support.png,
Eoantide,原初白浪,Sword_530_Water.jpg,Icon_Rarity_5.png,Icon_Element_Water.png,Icon_Weapon_Sword.png,143,556,Icon_Skill_003.jpg,前方x5,none.jpg,,none.jpg,,Icon_Type_Attack.png,
Blizzard_Ingot,雪崩铸铁(void),Sword_V430_Water_2.jpg,Icon_Rarity_4.png,Icon_Element_Water.png,Icon_Weapon_Sword.png,60,216,none.jpg,,Icon_Ability_1060002.jpg,[自然]特攻15%,Icon_Ability_1030015.jpg,灼热抗性,Icon_Type_Support.png,
Fervent_Frost,暴雪魔剑(void),Sword_V430_Water.jpg,Icon_Rarity_4.png,Icon_Element_Water.png,Icon_Weapon_Sword.png,57,222,none.jpg,,Icon_Ability_1060005.jpg,[不死]特攻15%,Icon_Ability_1140002.jpg,防御贯穿,Icon_Type_Support.png,
Mercurius,墨丘利之剑,Sword_430_Water.jpg,Icon_Rarity_4.png,Icon_Element_Water.png,Icon_Weapon_Sword.png,105,333,Icon_Skill_029.jpg,加血18(15)%,none.jpg,,none.jpg,,Icon_Type_Healing.png,
Roaring_Weald,轰疾迅剑威尔德(void),Sword_V530_Wind_2.jpg,Icon_Rarity_5.png,Icon_Element_Wind.png,Icon_Weapon_Sword.png,105,333,none.jpg,,Icon_Ability_1010007.jpg,开场技槽50%,Icon_Ability_1100001.jpg,[真水]特攻30%,Icon_Type_Support.png,
