
Glorious_Tempest,暴风的荣耀,180927_Glorious_Tempest_Icon.png,Icon_Rarity_5.png,165,39,Icon_Ability_1100002.png,真碧龙抗25%,Icon_Ability_1100002.png,碧龙抗性20%,Icon_Ability_1080003.png,风抗5%,Icon_Type_Defense.png,,,,
Nightstalker,狩猎之夜,180927_Nightstalker_Icon.png,Icon_Rarity_5.png,183,57,Icon_Ability_1010001.png,强击)50%,Icon_Ability_1030003.png,冰冻抗性50%,none.png,,Icon_Type_Attack.png,freeze,,,
Levin's_Champion,雷维昂的英雄,180927_Levin’s_Champion_Icon.png,Icon_Rarity_5.png,176,64,Icon_Ability_1020010.png,HP70)暴率10%,Icon_Ability_1020011.png,暴伤15%,none.png,,Icon_Type_Attack-Support.png,,,,
Luca's_Prank,卢卡的恶作剧,180927_Luca’s_Prank_Icon.png,Icon_Rarity_5.png,183,57,Icon_Ability_1010002.png,技能伤30%,Icon_Ability_1080004.png,光抗10%,none.png,,Icon_Type_Attack.png,light,,,
Dragon_Brethren,龙之血一族,180927_Dragon_Brethren_Icon.png,Icon_Rarity_5.png,184,56,Icon_Ability_1010003.png,龙化时间20%,Icon_Ability_1080001.png,火抗10%,none.png,,Icon_Type_Support.png,flame,,,
Auspex's_Prayer,神圣的祈祷,180927_Auspex’s_Prayer_Icon.png,Icon_Rarity_5.png,187,53,Icon_Ability_1020009.png,满HP)治疗量20,Icon_Ability_1030007.png,诅咒抗性50%,none.png,,Icon_Type_Healing.png,curse,,,
Worthy_Rivals,旗鼓相当的对手,180927_Worthy_Rivals_Icon.png,Icon_Rarity_5.png,177,64,Icon_Ability_1010009.png,Break伤30%,Icon_Ability_1010007.png,开场技槽25%,none.png,,Icon_Type_Attack-Support.png,,,,
Evening_of_Luxury,奢华派对,180927_Evening_of_Luxury_Icon.png,Icon_Rarity_5.png,176,65,Icon_Ability_1020002.png,满HP)攻15%,Icon_Ability_1020011.png,暴伤15%,none.png,,Icon_Type_Attack.png,,,,
Flash_of_Genius,天才的灵感,180927_Flash_of_Genius_Icon.png,Icon_Rarity_5.png,183,57,Icon_Ability_1020002.png,15连)攻20%,Icon_Ability_1080003.png,风抗10%,none.png,,Icon_Type_Attack.png,wind,,,
Valiant_Crown,勇敢之冠,180927_Valiant_Crown_Icon.png,Icon_Rarity_5.png,176,65,Icon_Ability_1010002.png,技能伤30%,Icon_Ability_1020002.png,防御链)攻10%,none.png,,Icon_Type_Attack.png,,,,
Give_Me_Your_Wounded,伤痛由我来治疗,180927_Give_Me_Your_Wounded_Icon.png,Icon_Rarity_5.png,187,53,Icon_Ability_1020009.png,治疗量13%,Icon_Ability_1020003.png,满HP)防20%,none.png,,Icon_Type_Defense-Healing.png,,,,
Happier_Times,昔日幸福,180927_Happier_Times_Icon.png,Icon_Rarity_4.png,141,51,Icon_Ability_1010002.png,满HP)技能伤35%,Icon_Ability_1020004.png,技槽率5%,none.png,,Icon_Type_Attack-Support.png,,,,
Greatwyrm_Zodiark,五龙之咆哮:佐迪亚克,180927_Greatwyrm_Zodiark_Icon.png,Icon_Rarity_4.png,127,30,Icon_Ability_1100002.png,暗龙抗20%,Icon_Ability_1080005.png,暗抗5%,none.png,,Icon_Type_Defense.png,shadow,,,
Greatwyrm_Jupiter,五龙之咆哮:朱庇特,180927_Greatwyrm_Jupiter_Icon.png,Icon_Rarity_4.png,127,30,Icon_Ability_1100002.png,光龙抗20%,Icon_Ability_1080004.png,光抗5%,none.png,,Icon_Type_Defense.png,light,,,
Greatwyrm_Brunhilda,五龙之咆哮:布伦希尔德,180927_Greatwyrm_Brunhilda_Icon.png,Icon_Rarity_4.png,127,30,Icon_Ability_1100002.png,绯龙抗20%,Icon_Ability_1080001.png,火抗5%,none.png,,Icon_Type_Defense.png,flame,,,
Greatwyrm_Mercury,五龙之咆哮:墨丘利,180927_Greatwyrm_Mercury_Icon.png,Icon_Rarity_4.png,127,30,Icon_Ability_1100002.png,水龙抗20%,Icon_Ability_1080002.png,水抗5%,none.png,,Icon_Type_Defense.png,water,,,
Greatwyrm_Midgardsormr,五龙之咆哮:耶梦加得,180927_Greatwyrm_Midgardsormr_Icon.png,Icon_Rarity_4.png,127,30,Icon_Ability_1100002.png,风龙抗20%,Icon_Ability_1080003.png,风抗5%,none.png,,Icon_Type_Defense.png,wind,,,
Together_We_Stand,战场上的两人,180927_Together_We_Stand_Icon.png,Icon_Rarity_4.png,140,52,Icon_Ability_1020002.png,强击3杀)攻5%,Icon_Ability_1010002.png,技能伤20%,none.png,,Icon_Type_Attack.png,,,,
Dueling_Dancers,舞林大会,180927_Dueling_Dancers_Icon.png,Icon_Rarity_4.png,147,45,Icon_Ability_1020010.png,15连)暴率10%,Icon_Ability_1080004.png,光抗8%,none.png,,Icon_Type_Support.png,light,,,
Sisters_of_the_Anvil,铁匠铺三姐妹,180927_Sisters_of_the_Anvil_Icon.png,Icon_Rarity_4.png,146,46,Icon_Ability_1020002.png,防御链)攻10%,Icon_Ability_1030006.png,昏迷抗性25%,none.png,,Icon_Type_Attack.png,stun,,,
Revolutionary_Magic,研究成果的新魔法,180927_Revolutionary_Magic_Icon.png,Icon_Rarity_4.png,146,46,Icon_Ability_1010002.png,满HP)技能伤35%,Icon_Ability_1030004.png,麻痹抗性25%,none.png,,Icon_Type_Attack.png,paralysis,,,
Armorer's_Aspirations,甲胄师的目标,180927_Armorer’s_Aspirations_Icon.png,Icon_Rarity_4.png,156,37,Icon_Ability_1020003.png,满HP)防20%,Icon_Ability_1030001.png,中毒抗性25%,none.png,,Icon_Type_Defense.png,poison,,,
Warlust,愉悦的生死战,180927_Warlust_Icon.png,Icon_Rarity_4.png,140,52,Icon_Ability_1020002.png,HP30)攻40%,Icon_Ability_1010002.png,技能伤20%,none.png,,Icon_Type_Attack.png,,,,
One_with_the_Shadows,此身成影,180927_One_with_the_Shadows_Icon.png,Icon_Rarity_4.png,141,51,Icon_Ability_1020010.png,暴率6%,Icon_Ability_1010009.png,Break伤20%,none.png,,Icon_Type_Attack-Support.png,,,,
How_to_Flee_Properly,撤退吧!,180927_How_to_Flee_Properly_Icon.png,Icon_Rarity_4.png,151,41,Icon_Ability_1020003.png,HP30)防60%,Icon_Ability_1020009.png,治疗量8%,none.png,,Icon_Type_Defense-Healing.png,,,,
What_a_Handful!,真不让人省心!,180927_What_a_Handful!_Icon.png,Icon_Rarity_4.png,150,42,Icon_Ability_1020009.png,治疗量10%,Icon_Ability_1030001.png,中毒抗性25%,none.png,,Icon_Type_Healing.png,poison,,,
Braving_the_Unknown,探求未知,180927_Braving_the_Unknown_Icon.png,Icon_Rarity_4.png,156,37,Icon_Ability_1030001.png,中毒抗性50%,Icon_Ability_1080002.png,水抗8%,none.png,,none.png,poison,water,,
King's_Countenance,王之威严,180927_King’s_Countenance_Icon.png,Icon_Rarity_4.png,151,41,Icon_Ability_1030007.png,诅咒抗性50%,Icon_Ability_1010008.png,开场龙槽10%,none.png,,Icon_Type_Support.png,curse,,,
Lord_of_the_Skies,天空的霸主,180927_Lord_of_the_Skies_Icon.png,Icon_Rarity_4.png,146,46,Icon_Ability_1010010.png,OD伤10%,Icon_Ability_1080005.png,暗抗8%,none.png,,Icon_Type_Attack.png,shadow,,,
Castaway's_Journal,荒岛求生,180927_Castaway’s_Journal_Icon.png,Icon_Rarity_4.png,156,37,Icon_Ability_1030004.png,麻痹抗性50%,Icon_Ability_1080004.png,光抗8%,none.png,,none.png,paralysis,light,,
Trove_of_Knowledge,我们是智多星,180927_Trove_of_Knowledge_Icon.png,Icon_Rarity_4.png,156,37,Icon_Ability_1030006.png,昏迷抗性50%,Icon_Ability_1080003.png,风抗8%,none.png,,none.png,stun,wind,,
Fireside_Gathering,火热女子会,180927_Fireside_Gathering_Icon.png,Icon_Rarity_4.png,156,37,Icon_Ability_1030002.png,烧伤抗性50%,Icon_Ability_1080001.png,火抗8%,none.png,,none.png,burn,flame,,
