
Midgardsormr,耶梦加得,210001_01.png,Icon_Rarity_4.png,Icon_Element_Wind.png,206,66,Icon_Skill_004.png,周围x3,Icon_Ability_1020006.png,攻10%/血10%,none.png,,Icon_Type_Support.png,
Brunhilda,布伦希尔德,210002_01.png,Icon_Rarity_4.png,Icon_Element_Flame.png,203,70,Icon_Skill_027.png,前方x7,Icon_Ability_1020002.png,攻20%,none.png,,Icon_Type_Attack.png,
Mercury,墨丘利,210003_01.png,Icon_Rarity_4.png,Icon_Element_Water.png,211,62,Icon_Skill_028.png,直线x1,Icon_Ability_1020001.png,血20%,none.png,,Icon_Type_Healing.png,
Jupiter,朱庇特,210004_01.png,Icon_Rarity_4.png,Icon_Element_Light.png,207,65,Icon_Skill_024.png,周围x2,Icon_Ability_1020006.png,攻10%/血10%,none.png,,Icon_Type_Support.png,
Zodiark,佐迪亚克,210005_01.png,Icon_Rarity_4.png,Icon_Element_Shadow.png,202,70,Icon_Skill_025.png,前方x1,Icon_Ability_1020002.png,攻20%,none.png,,Icon_Type_Attack.png,
Phoenix,菲尼克斯,210006_01.png,Icon_Rarity_4.png,Icon_Element_Flame.png,299,97,Icon_Skill_029.png,群疗51(41)%,Icon_Ability_1020001.png,血45%,none.png,,Icon_Type_Healing.png,
Ifrit,伊夫利特,210007_01.png,Icon_Rarity_4.png,Icon_Element_Flame.png,295,101,Icon_Skill_020.png,前方x2/烧伤,Icon_Ability_1020002.png,攻45%,none.png,,Icon_Type_Attack.png,
Poliʻahu,波丽亚芙,210008_01.png,Icon_Rarity_4.png,Icon_Element_Water.png,301,95,Icon_Skill_020.png,目标x2/冰冻,Icon_Ability_1020006.png,攻20%/血20%,none.png,,Icon_Type_Support.png,
Sylvia,希尔维亚,210010_01.png,Icon_Rarity_5.png,Icon_Element_Wind.png,225,72,Icon_Skill_013.png,前方x3,Icon_Ability_1020001.png,血30%,none.png,,Icon_Type_Healing.png,
Stribog,斯特利伯格,210011_01.png,Icon_Rarity_4.png,Icon_Element_Wind.png,306,91,Icon_Skill_018.png,周围x3/吸引,Icon_Ability_1020001.png,血45%,none.png,,Icon_Type_Healing.png,
Unicorn,独角兽,210012_01.png,Icon_Rarity_4.png,Icon_Element_Light.png,301,95,Icon_Skill_028.png,直线x1,Icon_Ability_1020001.png,血45%,none.png,,Icon_Type_Healing.png,
Lindworm,林德巴鲁姆,210013_01.png,Icon_Rarity_4.png,Icon_Element_Light.png,297,100,Icon_Skill_026.png,前方x1,Icon_Ability_1020002.png,攻45%,none.png,,Icon_Type_Attack.png,
