
1,纹章：人类,纹章：人类,,付与被刻印的指令卡5%〔人类〕特攻效果,友情池常驻,,,/images/7/7b/纹章001.png,/images/3/3a/特攻.png,2,1\n2,
1,纹章：野兽,纹章：野兽,,付与被刻印的指令卡5%〔猛兽〕特攻效果,友情池常驻,,,/images/f/f4/纹章002.png,/images/3/3a/特攻.png,2,1\n3,
1,纹章：死尸,纹章：死尸,,付与被刻印的指令卡5%〔死灵〕特攻效果,友情池常驻,,,/images/1/15/纹章003.png,/images/3/3a/特攻.png,2,1\n4,
1,纹章：邪恶,纹章：邪恶,,付与被刻印的指令卡5%〔魔性〕特攻效果,友情池常驻,,,/images/b/b0/纹章004.png,/images/3/3a/特攻.png,2,1\n5,
1,纹章：光轮,纹章：光轮,,付与被刻印的指令卡5%〔神性〕特攻效果,友情池常驻,,,/images/2/2f/纹章005.png,/images/3/3a/特攻.png,2,1\n6,
2,纹章：祝福,纹章：祝福,,当使用被刻印的指令卡进行攻击时，回复自身HP100,友情池常驻,,,/images/c/c2/纹章006.png,/images/4/4e/回血.png,4,1\n7,
2,纹章：闪耀,纹章：闪耀,,被刻印的指令卡暴击星掉率提升20%,友情池常驻,,,/images/5/54/纹章007.png,/images/6/63/掉星率增加.png,4,1\n8,
2,纹章：爆裂,纹章：爆裂,,被刻印的指令卡暴击威力提升3%,友情池常驻,,,/images/5/5b/纹章008.png,/images/d/db/暴击威力提升.png,4,1\n9,
2,纹章：集中,纹章：集中,,被刻印的指令卡暴击星集中度提升25%,友情池常驻,,,/images/6/69/纹章009.png,/images/7/7a/集星.png,4,1\n10,
2,纹章：治愈,纹章：治愈,,当使用被刻印的指令卡进行攻击时，<br>解除自身的中毒、诅咒、灼烧状态中的1个。,友情池常驻,,,/images/d/de/纹章010.png,/images/e/ea/弱化解除.png,4,1\n11,
3,幸运之兽,幸运之兽,,当使用被刻印的指令卡进行攻击时，自身的HP回复200,通关%LINK%获得,迦勒底之门/纪念任务#Fate/Grand Order Fes. 2018 ～3rd Anniversary～,指令纹章发布纪念关卡,/images/e/ee/纹章011.png,/images/4/4e/回血.png,8,2\n12,
3,人理的纹章,人理的纹章,,被刻印的指令卡暴击星掉落率提升30%,活动%LINK%任务关卡获得,从者·夏日·庆典！,从者·夏日·庆典！,/images/8/84/纹章012.png,/images/6/63/掉星率增加.png,8,2\n13,
4,胜利的兵装,胜利的兵装,,被刻印的指令卡暴击星集中度提升100%,活动%LINK%任务关卡获得,从者·夏日·庆典！,从者·夏日·庆典！,/images/7/72/纹章013.png,/images/7/7a/集星.png,16,2\n14,
5,第一位从者,第一位从者,,被刻印的指令卡攻击时自身获得被伤害减免状态300（1次·1回合）,活动%LINK%任务关卡获得,从者·夏日·庆典！,从者·夏日·庆典！,/images/4/4b/纹章014.png,/images/3/32/加防.png,32,2\n15,
3,赤色宝石小姐的令印,赤色宝石小姐的令印,,被刻印的指令卡暴击威力提升10%,活动%LINK%兑换,BATTLE IN NEWYORK 2018,BATTLE IN NEWYORK 2018,/images/9/9e/纹章015.png,/images/d/db/暴击威力提升.png,8,2\n16,
4,缝神之锁,缝神之锁,,付与被刻印的指令卡15%〔神性〕特攻效果,活动%LINK%兑换,BATTLE IN NEWYORK 2018,BATTLE IN NEWYORK 2018,/images/1/17/纹章016.png,/images/3/3a/特攻.png,16,2\n17,
5,天之楔,天之楔,,付与被刻印的指令卡20%〔从者〕特攻效果[特攻对拥有特别星之力的从者无效],活动%LINK%兑换,BATTLE IN NEWYORK 2018,BATTLE IN NEWYORK 2018,/images/5/59/纹章017.png,/images/3/3a/特攻.png,32,2\n18,
3,白色器物的令印,白色器物的令印,,当使用被刻印的指令卡进行攻击时，解除自身的一个弱化状态,活动%LINK%点数报酬,神秘之国ONILAND!! ～鬼之王与神威的黄金～,神秘之国ONILAND!! ～鬼之王与神威的黄金～,/images/1/1f/纹章018.png,/images/e/ea/弱化解除.png,8,2\n19,
4,屠龙之剑,屠龙之剑,,被刻印的指令卡对〔龙〕的暴击威力提升25%,活动%LINK%点数报酬,神秘之国ONILAND!! ～鬼之王与神威的黄金～,神秘之国ONILAND!! ～鬼之王与神威的黄金～,/images/b/b9/纹章019.png,/images/d/db/暴击威力提升.png,16,2\n20,
