
4,玛修・基列莱特,マシュ・キリエライト,Mash Kyrielight,玛修・基列莱特,盾娘&学妹,0,地,初始获得,12877,8730,Shielder,/images/9/9c/Servant001.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/9/95/Arts.png,辅助,/images/d/db/金卡Shielder.png,16,1,1,8,2,4,2,2,1,1,4,87,158\n2,
5,阿尔托莉雅・潘德拉贡,アルトリア・ペンドラゴン,Altria Pendragon,阿尔托莉雅・潘德拉贡,呆毛&蓝呆&棉被&Saber&看板娘,16,地,圣晶石常驻,15150,11221,Saber,/images/c/ca/Servant002.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,全体,/images/4/41/金卡Saber.png,32,2,32,8,4,2,2,2,1,1,1734,185,223\n3,
4,阿尔托莉雅・潘德拉贡(Alter),アルトリア・ペンドラゴン〔オルタ〕,Altria Pendragon (Alter),阿尔托莉雅・潘德拉贡(Alter),黑呆&黑无毛,12,人,剧情限定,11589,10248,Saber,/images/2/27/Servant003.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,全体,/images/4/41/金卡Saber.png,16,2,64,8,4,2,4,2,1,4,1602,153,113\n4,
4,阿尔托莉雅・潘德拉贡(Lily),アルトリア・ペンドラゴン〔リリィ〕,Altria Pendragon (Lily),阿尔托莉雅・潘德拉贡(Lily),莉莉,12,地,事前登录赠送&活动赠送,10623,7726,Saber,/images/e/e9/Servant004.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,全体,/images/4/41/金卡Saber.png,16,2,6,8,4,2,2,2,1,1,1734,58,70\n5,
4,尼禄・克劳狄乌斯,ネロ・クラウディウス,Nero Claudius,尼禄・克劳狄乌斯,尼禄&红Saber,12,人,剧情限定,11753,9449,Saber,/images/5/59/Servant005.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/9/95/Arts.png,全体,/images/4/41/金卡Saber.png,16,2,64,8,2,2,4,2,4,1,1348,122,119\n6,
4,齐格飞,ジークフリート,Siegfried,齐格飞,飞哥,12,地,圣晶石常驻,14165,8181,Saber,/images/2/20/Servant006.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,全体,/images/4/41/金卡Saber.png,16,2,32,8,4,2,2,1,4,1,4294,69,205\n7,
3,盖乌斯・尤利乌斯・恺撒,ガイウス・ユリウス・カエサル,Gaius Julius Caesar,盖乌斯・尤利乌斯・恺撒,红Saber(胖)&胖尼禄,7,人,圣晶石常驻&友情点召唤,9595,7497,Saber,/images/f/f9/Servant007.jpg,/images/8/84/Quick.png,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/8/84/Quick.png,单体,/images/9/9b/银卡Saber.png,8,2,48,16,1,1,4,1,2,2,4428,54,43\n8,
5,阿蒂拉,アルテラ,Altera,阿蒂拉,大王&B提拉&彩笔,16,人,圣晶石常驻,13907,12343,Saber,/images/0/0b/Servant008.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,全体,/images/4/41/金卡Saber.png,32,2,32,8,4,2,4,2,4,1,76,225,196\n9,
3,吉尔・德・雷,ジル・ド・レェ,Gilles de Rais,吉尔・德・雷,吉尔(lily)&剑元帅,7,人,圣晶石常驻&友情点召唤,10498,6615,Saber,/images/e/e7/Servant009.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/9/95/Arts.png,辅助,/images/9/9b/银卡Saber.png,8,2,48,8,2,4,4,1,1,1,4100,27,68\n10,
4,骑士迪昂,シュヴァリエ・デオン,Chevalier d'Eon,骑士迪昂,,12,人,圣晶石常驻,13256,8765,Saber,/images/f/fe/Servant010.jpg,/images/8/84/Quick.png,/images/9/95/Arts.png,/images/9/95/Arts.png,/images/6/6e/Buster.png,/images/6/6e/Buster.png,/images/9/95/Arts.png,辅助,/images/4/41/金卡Saber.png,16,2,32,8,2,4,4,4,2,2,4,88,173\n11,
